ecosystem,name,version,license,repository
"npm","@antfu/install-pkg","1.1.0","MIT","https://github.com/antfu/install-pkg"
"npm","@babel/runtime","7.29.7","MIT","https://github.com/babel/babel"
"npm","@braintree/sanitize-url","6.0.2","MIT","https://github.com/braintree/sanitize-url"
"npm","@braintree/sanitize-url","6.0.4","MIT","https://github.com/braintree/sanitize-url"
"npm","@braintree/sanitize-url","7.1.2","MIT","https://github.com/braintree/sanitize-url"
"npm","@chevrotain/cst-dts-gen","11.0.3","Apache-2.0","https://github.com/Chevrotain/chevrotain"
"npm","@chevrotain/gast","11.0.3","Apache-2.0","https://github.com/Chevrotain/chevrotain"
"npm","@chevrotain/regexp-to-ast","11.0.3","Apache-2.0","https://github.com/Chevrotain/chevrotain"
"npm","@chevrotain/types","11.0.3","Apache-2.0","https://github.com/Chevrotain/chevrotain"
"npm","@chevrotain/types","11.1.2","Apache-2.0","https://github.com/Chevrotain/chevrotain"
"npm","@chevrotain/utils","11.0.3","Apache-2.0","https://github.com/Chevrotain/chevrotain"
"npm","@csstools/postcss-is-pseudo-class","5.0.3","MIT-0","https://github.com/csstools/postcss-plugins"
"npm","@csstools/selector-resolve-nested","3.1.0","MIT-0","https://github.com/csstools/postcss-plugins"
"npm","@csstools/selector-specificity","5.0.0","MIT-0","https://github.com/csstools/postcss-plugins"
"npm","@excalidraw/excalidraw","0.18.1","MIT","https://github.com/excalidraw/excalidraw"
"npm","@excalidraw/laser-pointer","1.3.1","MIT",""
"npm","@excalidraw/markdown-to-text","0.1.2","MIT","https://github.com/danestves/markdown-to-text"
"npm","@excalidraw/mermaid-to-excalidraw","2.2.2","MIT",""
"npm","@excalidraw/random-username","1.1.0","MIT","https://github.com/excalidraw/random-username"
"npm","@floating-ui/core","1.7.5","MIT","https://github.com/floating-ui/floating-ui"
"npm","@floating-ui/dom","1.7.6","MIT","https://github.com/floating-ui/floating-ui"
"npm","@floating-ui/react-dom","2.1.8","MIT","https://github.com/floating-ui/floating-ui"
"npm","@floating-ui/utils","0.2.11","MIT","https://github.com/floating-ui/floating-ui"
"npm","@iconify/types","2.0.0","MIT","https://github.com/iconify/iconify"
"npm","@iconify/utils","3.1.3","MIT","https://github.com/iconify/iconify"
"npm","@marp-team/marp-core","4.3.0","MIT","https://github.com/marp-team/marp-core"
"npm","@marp-team/marpit-svg-polyfill","2.1.0","MIT","https://github.com/marp-team/marpit-svg-polyfill"
"npm","@marp-team/marpit","3.2.1","MIT","https://github.com/marp-team/marpit"
"npm","@mermaid-js/parser","0.6.3","MIT","https://github.com/mermaid-js/mermaid"
"npm","@mermaid-js/parser","1.1.1","MIT","https://github.com/mermaid-js/mermaid"
"npm","@radix-ui/primitive","1.0.0","MIT","https://github.com/radix-ui/primitives"
"npm","@radix-ui/primitive","1.1.1","MIT","https://github.com/radix-ui/primitives"
"npm","@radix-ui/react-arrow","1.1.2","MIT","https://github.com/radix-ui/primitives"
"npm","@radix-ui/react-collection","1.0.1","MIT","https://github.com/radix-ui/primitives"
"npm","@radix-ui/react-compose-refs","1.0.0","MIT","https://github.com/radix-ui/primitives"
"npm","@radix-ui/react-compose-refs","1.1.1","MIT","https://github.com/radix-ui/primitives"
"npm","@radix-ui/react-context","1.0.0","MIT","https://github.com/radix-ui/primitives"
"npm","@radix-ui/react-context","1.1.1","MIT","https://github.com/radix-ui/primitives"
"npm","@radix-ui/react-direction","1.0.0","MIT","https://github.com/radix-ui/primitives"
"npm","@radix-ui/react-dismissable-layer","1.1.5","MIT","https://github.com/radix-ui/primitives"
"npm","@radix-ui/react-focus-guards","1.1.1","MIT","https://github.com/radix-ui/primitives"
"npm","@radix-ui/react-focus-scope","1.1.2","MIT","https://github.com/radix-ui/primitives"
"npm","@radix-ui/react-id","1.0.0","MIT","https://github.com/radix-ui/primitives"
"npm","@radix-ui/react-id","1.1.0","MIT","https://github.com/radix-ui/primitives"
"npm","@radix-ui/react-popover","1.1.6","MIT","https://github.com/radix-ui/primitives"
"npm","@radix-ui/react-popper","1.2.2","MIT","https://github.com/radix-ui/primitives"
"npm","@radix-ui/react-portal","1.1.4","MIT","https://github.com/radix-ui/primitives"
"npm","@radix-ui/react-presence","1.0.0","MIT","https://github.com/radix-ui/primitives"
"npm","@radix-ui/react-presence","1.1.2","MIT","https://github.com/radix-ui/primitives"
"npm","@radix-ui/react-primitive","1.0.1","MIT","https://github.com/radix-ui/primitives"
